Albirex Niigata,10,12,11,35,40
Avispa Fukuoka,15,6,12,37,42
Cerezo Osaka,15,4,14,39,33
Consadole Sapporo,10,10,13,56,59
FC Tokyo,11,7,15,41,46
Gamba Osaka,9,7,17,38,60
Kashima Antlers,13,10,10,41,33
Kashiwa Reysol,6,14,13,32,46
Kawasaki Frontale,13,8,12,50,45
Kyoto Sanga FC,11,4,18,37,44
Nagoya Grampus,14,9,10,40,35
Sagan Tosu,9,11,13,43,46
Sanfrecce Hiroshima,16,7,10,41,28
Shonan Bellmare,8,10,15,40,55
Urawa Red Diamonds,14,12,7,40,27
Vissel Kobe,20,8,5,59,29
Yokohama F. Marinos,19,7,7,62,37
Yokohama FC,7,8,18,30,56
